product_name,application_type,profiles,version,approval_date
DNZ30TL2R*,device,S,"2.420.FLIR Systems 08.8.R.2, build: 2017-02-27",3/23/2017
N233BE*,device,S,"2.420.FLIR 00.2.R, build: 2015-09-21",11/16/2015
N233EE*,device,S,"2.420.FLIR 00.2.R, build: 2015-09-21",11/16/2015
N233VE*,device,S,"2.420.FLIR 00.2.R, build: 2015-09-21",11/16/2015
N233ZC*,device,S,"2.420.FLIR 00.2.R, build: 2015-09-21",11/16/2015
N233ZD*,device,S,"2.420.FLIR 00.2.R, build: 2015-09-21",11/16/2015
N237BE*,device,S,"2.420.FLIR 00.2.R, build: 2015-09-21",11/16/2015
N237VE*,device,S,"2.420.FLIR 00.2.R, build: 2015-09-21",11/16/2015
N243MW2*,device,S,VMSd v2.5.28.58,7/19/2016
N253EA8**,device,S,"2.622.00FL000.2.R, Build Date 2018-01-17",3/6/2018
N336ZD1*,device,S,"2.212.FLIR Systems 04.4.R.1210.3N.NR, build: 2017-04-12",5/1/2017
N336ZD3*,device,S,"2.400.FL09.9.R,build:2017-04-12",4/20/2017
N437****,device,S,"2.400.FLIR 00.2.R, build: 2015-09-17",10/15/2015
PB133D*,device,S,"2.400.FLIR 00.3.R, build: 2016-01-06",1/27/2016
PB133E*,device,S,"2.420.FLIR 00.10.R, build: 2017-01-06",3/23/2017
PB133F*,device,S,"2.400.FLIR 00.5.R, build: 2017-01-23",3/23/2017
PE133D*,device,S,"2.400.FLIR 00.3.R, build: 2016-01-06",1/26/2016
PE133E*,device,S,"2.420.FLIR 00.10.R, build: 2017-01-06",3/23/2017
PE133F*,device,S,"2.400.FLIR 00.5.R, build: 2017-01-23",3/23/2017
DS-76**NI-I*,client,T,,9/7/2019
DS-77**NI-I*,client,T,,9/7/2019
DS-86**NI-I*,client,T,,9/7/2019
DS-96***NI-I**,client,S,,1/24/2019
DS-96***NI-I**/H,client,S,,1/24/2019
DS-96**NI-I*,client,T,,9/7/2019
WV-SFN311*,device,"G, S",2.00.03,4/8/2016
WV-SFR311*,device,"G, S",2,4/9/2016
WV-SFV311*,device,"G, S",2,4/11/2016
*8*6B-*,device,"G, S",100,5/4/2015
CD8371-*,device,"G, S",100,8/29/2016
FD816BA-*,device,"G, S",101,6/23/2016
FD8182-*,device,"G, S",200,6/13/2016
FD836BA-*,device,"G, S",101,6/23/2016
FD8382-*,device,"G, S",200,6/13/2016
FD9171-*,device,"G, S",101,3/9/2016
FD9181-*,device,"G, S",100,10/20/2015
FD9371-*,device,"G, S",101,3/9/2016
FD9381-*,device,"G, S",100,10/20/2015
FE9182-*,device,"G, S",100,7/1/2016
FE9382-*,device,"G, S",100,7/1/2016
IB836BA-*,device,"G, S",101,6/23/2016
IB8382-*,device,"G, S",200,6/13/2016
IB9371-*,device,"G, S",101,3/9/2016
IB9381-*,device,"G, S",100,10/20/2015
MD8563-*,device,"G, S",100,11/10/2015
SD9361-*,device,"G, S",101,4/17/2016
SD9362-*,device,"G, S",101,4/17/2016
SD9364-*,device,"G, S",101,4/17/2016
PNF-9010**,device,"G, S",1.00_160831,11/8/2016
QN*60*0R,device,"G, S",1.01_161026,11/8/2016
QN*70*0R,device,"G, S",1.04_161026,11/8/2016
SN*-60**,device,"S, G",3.06_170915,9/20/2017
SNF-8010***,device,S,1.03_160218,2/21/2016
XN*-6080*,device,"S, G",1.00_170116,4/10/2019
XN*-6081**,device,"T, S, G",1.21.00_20190306_R111,4/2/2019
XN*-6085*,device,"S, G",1.11_171129,1/20/2018
XN*-8080R,device,"S, G",1.00_170117,4/4/2019
XN*-8081**,device,"T, S, G",1.21.00_20190306_R111,4/2/2019
XNF-8010R*,device,"S, G",1.10_171109,11/15/2017
AIB-TE1-04,client,S,,7/11/2024
AIB-TS2-08,client,S,,7/11/2024
AIBL-TS2-08,client,S,,7/11/2024
TS-VRCN12M-32CXMM271,client,S,,3/4/2024
TS-VRIN12M-64CIVR8SM381,client,S,,3/4/2024
GGM NVR01616P,client,"S, G, T",,5/14/2024
GGM NVR020808P,client,"S, G, T",,5/14/2024
GGM NVR021616P,client,"S, G, T",,5/14/2024
GGM NVR0232,client,"S, G, T",,5/14/2024
GGM NVR023216P,client,"S, G, T",,5/14/2024
GGM NVR0416,client,"S, G, T",,5/14/2024
GGM NVR041616P,client,"S, G, T",,5/14/2024
GGM NVR0432,client,"S, G, T",,5/14/2024
GGM NVR043216P,client,"S, G, T",,5/14/2024
GGM NVR081616P,client,"S, G, T",,5/14/2024
GGM NVR0832,client,"S, G, T",,5/14/2024
GGM NVR083216P,client,"S, G, T",,5/14/2024
GGM NVR16,client,"S, G, T",,5/14/2024
GGM NVR32,client,"S, G, T",,5/14/2024
GGM NVRL0104,client,"S, G, T",,5/14/2024
GGM NVRL0104P,client,"S, G, T",,5/14/2024
GGM NVRL0108P,client,"S, G, T",,5/14/2024
Jarvis VMS,client,S,,3/14/2024
CNE3R421,client,S,,7/12/2024
CNE3R441,client,S,,7/12/2024
CNE3R461,client,S,,7/12/2024
CNE3R841,client,S,,7/12/2024
CNE3R881,client,S,,7/12/2024
CNE3R8F1,client,S,,7/12/2024
CNE3RF81,client,S,,7/12/2024
CNE3RFF1,client,S,,7/12/2024
CNE3SZ41(NVR),client,S,,7/12/2024
CNW3SZ11(NVR),client,S,,7/12/2024
Duranc Vision Platform,client,S,,10/19/2023
I-HNVR-1110,client,"S, T",,8/9/2023
I-HPNVR-16256,client,"S, G, T",,5/20/2024
I-HPNVR-1664,client,"S, G, T",,5/20/2024
I-HPNVR-416,client,"S, G, T",,5/20/2024
I-HPNVR-432,client,"S, G, T",,5/20/2024
I-HPNVR-464,client,"S, G, T",,5/20/2024
I-HPNVR-864,client,"S, G, T",,5/20/2024
Wazo iVMS,client,"S, G, T, M",,9/27/2023
L3HVR16,client,S,,11/21/2023
L3HVR4,client,S,,11/21/2023
L3HVR8,client,S,,11/21/2023
L3NVR16POE,client,S,,7/3/2024
L3NVR3216POE,client,S,,7/3/2024
L3NVR4POE,client,S,,7/3/2024
L3NVR8POE,client,S,,7/3/2024
VideoEdge NVR,client,S,,6/1/2023
VURIX-NVR16RSe,client,S,,7/17/2024
VURIX-NVR25RSe,client,S,,7/17/2024
VURIX-NVR40RSe,client,S,,7/17/2024
VURIX-NVR64RSe,client,S,,7/17/2024
PST-NVR-10104,client,S,,7/19/2023
PST-NVR-10108-P,client,S,,7/19/2023
PST-NVR-10216,client,S,,7/19/2023
PST-NVR-10232,client,S,,7/19/2023
PST-NVR-30216-I,client,S,,7/19/2023
PST-NVR-30216-P,client,S,,7/19/2023
PST-NVR-30832,client,S,,7/19/2023
PST-XVR-1014-F,client,S,,7/19/2023
PST-XVR-1018-F,client,S,,7/19/2023
PST-XVR-30104,client,S,,7/19/2023
PST-XVR-30108,client,S,,7/19/2023
PST-XVR-30116,client,S,,7/19/2023
PST-XVR-30216,client,S,,7/19/2023
NVR101-8C,client,S,,1/10/2023
NVR101-8C-8P,client,S,,1/10/2023
NVR102-16C,client,S,,1/10/2023
NVR102-16C-16P,client,S,,1/10/2023
NVR102-8C-8P,client,S,,1/10/2023
NVR102-9C,client,S,,1/10/2023
NVR202-16C,client,S,,11/1/2022
NVR202-16C-16P,client,S,,11/1/2022
NVR202-8C-8P,client,S,,11/1/2022
NVR202-9C,client,S,,11/1/2022
NVR204-32C,client,S,,1/10/2023
NVR204-32C-16P,client,S,,11/1/2022
NVR204-32C-16P-V2,client,S,,1/10/2023
NVR304-32C,client,S,,11/1/2022
NVR308-64C,client,S,,1/10/2023
NVR716-128C,client,S,,1/10/2023
NVR716-64C,client,S,,11/1/2022
NVR724-256C,client,S,,1/10/2023
VS-2024S,client,S,,2/16/2023
VS-6048D,client,S,,2/16/2023
NVR8864NI-M,client,S,,4/26/2023
RS-NVR7104NI,client,S,,4/20/2023
RS-NVR7208NI-K,client,S,,4/26/2023
RS-NVR7432NI-ME,client,S,,4/26/2023
RS-NVR8416NI-P16E,client,S,,4/26/2023
RS-NVR8816NI,client,S,,4/20/2023
RS-NVR8816NI-M,client,S,,5/14/2024
RS-NVR8832NI-M,client,S,,4/20/2023
RS-NVR924128NI-MB,client,S,,4/26/2023
GW5508NPN,client,S,,9/8/2022
GW5516NPN,client,S,,9/8/2022
GW9508XVRAI,client,S,,9/16/2022
GW9516XVRAI,client,S,,9/16/2022
iSurveillance,client,S,,10/13/2022
SPIDER®,client,S,,12/21/2022
IN-NVR7232NI-RK,client,"S, G, T",,5/29/2024
IN-NVR7432NI-B,client,"T, S, G",,2/23/2024
BS-DVR16350S,client,S,,5/10/2022
BS-DVR4350S,client,S,,5/10/2022
BS-DVR8350S,client,S,,5/10/2022
BS-NVR16255N,client,S,,7/15/2022
BS-NVR32255N,client,S,,4/24/2022
BS-NVR64255N,client,S,,4/24/2022
BS-NVR8250N,client,S,,7/15/2022
Coach Control Unit,client,S,,6/8/2023
Main Processing Unit - NVR,client,S,,4/26/2022
Main Processing Unit-NVR,client,S,,4/26/2022
CLR-V200-16PNVR4,client,S,,3/16/2023
CLR-V200-4PNVR1,client,S,,3/15/2023
CLR-V200-8PNVR2,client,S,,3/16/2023
EMDEC32MPX6HDMI,client,S,,7/5/2022
Eyemotion Pro CMS,client,S,,8/5/2022
HWT-IVS1800-B08,client,S,,6/21/2022
HWT-IVS1800-B16,client,S,,6/21/2022
HWT-IVS1800-C08-16T 64CH,client,S,,6/21/2022
HWT-IVS1800-C08-32T 64CH,client,S,,6/17/2022
HWT-IVS1800-C08-4T 64CH,client,S,,6/21/2022
HWT-IVS1800-D08-1T,client,"S, G, T",,6/20/2023
HWT-IVS1800-D08-4T,client,"S, G, T",,6/20/2023
HWT-IVS1800-D16-1T,client,"S, G, T",,6/20/2023
HWT-IVS1800-D16-4T,client,"S, G, T",,6/20/2023
HWT-NVR800-A01,client,S,,6/22/2022
HWT-NVR800-A01-4P,client,S,,6/22/2022
HWT-NVR800-A02-16P,client,S,,6/22/2022
HWT-NVR800-A02-8P,client,S,,6/22/2022
HWT-NVR800-B04,client,S,,6/22/2022
TR-MR32R,client,S,,11/18/2021
TR-MR64R,client,S,,11/18/2021
TR-MRP04,client,S,,11/18/2021
TR-MRP042T,client,S,,11/18/2021
TR-MRP08,client,S,,11/18/2021
TR-MRP082T,client,S,,11/18/2021
TR-MRP16,client,S,,11/18/2021
TR-MRP164T,client,S,,11/18/2021
TR-MRP328T,client,S,,11/18/2021
VISIO4U,client,"S, G",,12/14/2021
VISIOSPACE GOLD,client,"S, G",,12/14/2021
VISIOSPACE PLATINIUM,client,"S, G",,12/14/2021
VISIOSPACE SILVER,client,"S, G",,12/14/2021
GNRA-I110H1,client,S,,5/15/2023
GNRA-I120H1,client,S,,5/15/2023
GNRA-P220H2,client,S,,5/15/2023
GNRA-P340H2,client,S,,5/15/2023
GNRA-P340R4,client,S,,5/15/2023
GNRA-P340R8,client,S,,5/15/2023
GNRA-P380R8,client,S,,5/15/2023
GNRS-P216R4,client,"S, G, T",,6/7/2023
GNRS-P232R4,client,"S, G, T",,6/7/2023
GNRS-P332R8,client,"S, G, T",,6/7/2023
GNRS-P364R8,client,"S, G, T",,6/7/2023
IMPACT EPMB2,client,S,,10/23/2023
IMPACT EPMB2W,client,S,,10/23/2023
IMPACT EPMB4,client,S,,10/23/2023
IMPACT EPMB4W,client,S,,10/23/2023
ANY VMS,client,M,,9/22/2023
PRAMA VMS PROFESSIONAL,client,G,,2/16/2022
PT-NR2A04-Q1,client,"S, T",,3/9/2023
PT-NR2A08-Q1,client,"S, T",,3/9/2023
PT-NR2A08-Q2,client,"S, T",,3/10/2023
PT-NR2A16-Q1,client,"S, T",,3/10/2023
PT-NR2A16-Q2,client,"S, T",,3/10/2023
PT-NR2E64-I8,client,"S, T",,2/15/2023
PT-NR3A128-I16,client,"S, T",,3/15/2023
PT-NR3A128-I24,client,"S, T",,3/15/2023
PT-NR3A256-I16,client,"S, T",,3/16/2023
PT-NR3A256-I24,client,"S, T",,3/16/2023
PT-NRAS2A04-K1,client,"S, T",,2/15/2023
PT-NRAS2A08-K1,client,"S, T",,2/20/2023
PT-NRAS2A08-K2,client,"S, T",,2/20/2023
PT-NRAS2A16-K1,client,"S, T",,2/21/2023
PT-NRAS2A16-K2,client,"S, T",,2/21/2023
PT-NRAS2A32-K2,client,"S, T",,2/21/2023
PT-NRAS2B16-K4,client,"S, T",,2/23/2023
PT-NRAS2B32-K4,client,"S, T",,2/23/2023
PT-NRAS2C16-I2/S,client,"S, T",,1/24/2023
PT-NRAS3A32-I8/S,client,"S, T",,2/20/2023
PT-NRAS3A64-I8/S,client,"S, T",,2/20/2023
PT-NSH820D24,client,S,,6/30/2021
Symphia One,client,"S, G, T",,5/10/2023
Symphia VMS,client,"S, G, T",,5/10/2023
IVIGIL,client,T,,7/5/2024
VIGI NVR1004H,client,S,,11/14/2023
VIGI NVR1004H-4P,client,S,,1/9/2023
VIGI NVR1004H-4P-2TB,client,S,,11/27/2023
VIGI NVR1008,client,S,,11/24/2020
VIGI NVR1008H,client,S,,11/13/2023
VIGI NVR1008H-8MP,client,S,,11/27/2023
VIGI NVR1008H-8P,client,S,,11/27/2023
VIGI NVR1016H,client,S,,3/16/2023
VIGI NVR1104H-4P,client,S,,1/9/2023
VIGI NVR2008H-8MP,client,S,,3/22/2024
VIGI NVR2008H-8MP-2TB,client,S,,2/2/2024
VIGI NVR2016H,client,S,,5/23/2024
VIGI NVR2016H-16MP,client,S,,9/26/2023
VIGI NVR2016H-16MP-4TB,client,S,,12/8/2023
VIGI NVR2016H-16P,client,S,,9/26/2023
VIGI NVR4032H,client,S,,6/20/2023
VIGI NVR4064H,client,S,,4/16/2024
SteriEye - Video Management System,client,M,,12/28/2023
VRx,client,T,,7/17/2024
SAVR-H8204ST-AHL1,client,S,,12/20/2023
SAVR-H8208ST-AHL1,client,S,,12/20/2023
SAVR-H8216ST-AHL1,client,S,,12/20/2023
SAVR-H8216ST-AHL2,client,S,,12/20/2023
SAVR-H8508ST-AH2,client,S,,12/20/2023
SAVR-H8516ST-AH2,client,S,,12/20/2023
SNVR-8232ST-AH4,client,S,,12/20/2023
EV_NVR9001_128EX,client,S,,3/11/2024
EZ Pro VMS,client,S,,11/10/2023
AIBOX,client,S,,11/4/2019
Integriti Business,client,S,,8/10/2022
Integriti Corporate,client,S,,8/10/2022
Visia-VMS9,client,"S, G",,3/8/2019
Network Camera Windows OS,client,S,,5/15/2019
ViMS,client,"S, G, T",,2/11/2021
ViMS Lite,client,"S, G, T",,3/7/2021
ViMSEnterprise,client,"S, G, T",,3/7/2021
ViMSPro,client,"S, G, T",,3/7/2021
VT-7304NVR-P4,client,S,,3/21/2019
VT-7308NVR-P8,client,S,,3/21/2019
VT-7408NVR-P8,client,S,,3/21/2019
VT-7416NVR-P16,client,S,,3/21/2019
VT-7777NVR-64,client,S,,3/21/2019
VT-7777NVR-P64,client,S,,3/21/2019
Veracity COLDSTORE 3U Pro,client,S,,1/8/2021
Vision,client,"S, G",,6/11/2019
ENR-01004-N-CK,client,S,,7/3/2024
ENR-01004-N-CPK,client,S,,7/3/2024
ENR-01004-N-PPK,client,S,,6/16/2023
ENR-01008-N-CK,client,S,,7/3/2024
ENR-01008-N-DPK,client,S,,7/3/2024
ENR-01008-N-EPK,client,S,,6/16/2023
ENR-02008-N-EPK,client,S,,6/16/2023
ENR-02032-N-SPK,client,S,,6/16/2023
ENR-04032-N-FRK,client,S,,6/16/2023
ENR-04032-N-GK,client,S,,6/16/2023
ENR-04032-N-GPK,client,S,,6/16/2023
ENR-04064-N-FRK,client,S,,6/16/2023
ENR-08064-N-FRK,client,S,,6/16/2023
Thales Video Solution,client,S,,10/26/2018
ADM4P4-V2M,client,S,,4/21/2020
ADM8P8-V2M,client,S,,4/21/2020
Admiral 16CH NVR ADM16P16,client,S,,4/21/2020
Admiral 16CH PRO ADMP16P16,client,S,,4/21/2020
Admiral 32CH PRO ADMP32P16,client,S,,4/21/2020
Admiral 4CH NVR ADM4P4,client,S,,4/21/2020
Admiral 8CH NVR ADM8P8,client,S,,4/24/2020
Corporal 16CH NVR COR16,client,S,,4/21/2020
Corporal 8CH NVR COR08,client,S,,4/21/2020
Imperial 128CH NVR IMP128,client,S,,4/21/2020
Imperial 32CH NVR IMP32,client,S,,4/21/2020
HNR04,client,S,,3/11/2021
HNR08,client,S,,3/11/2021
HNR16,client,S,,3/11/2021
HNRX04,client,S,,3/11/2021
HNRX16,client,S,,3/11/2021
HNRXAI16,client,S,,3/11/2021
NR08P,client,S,,3/11/2021
NR08XP,client,S,,3/7/2021
NR12816,client,S,,3/11/2021
NR16P2,client,S,,3/11/2021
NR16P4,client,S,,3/11/2021
NR16XP2,client,S,,3/11/2021
NR32P,client,S,,3/11/2021
NR32XP,client,S,,3/11/2021
NR6416,client,S,,3/11/2021
NR648,client,S,,3/11/2021
SATATYA NVR03208XCTP,client,"S, G",,10/21/2021
SATATYA NVR03208XCTS,client,"S, G",,10/22/2021
SATATYA NVR03216XCTP,client,"S, G",,10/22/2021
SATATYA NVR03224XCTP,client,"S, G",,10/22/2021
SATATYA NVR0401XS P2,client,S,,5/9/2024
SATATYA NVR06408XCTP,client,"S, G",,10/21/2021
SATATYA NVR06408XCTS,client,"S, G",,10/22/2021
SATATYA NVR06416XCTP,client,"S, G",,10/22/2021
SATATYA NVR06424XCTP,client,"S, G",,10/22/2021
SATATYA NVR0801X,client,S,,10/21/2021
SATATYA NVR0801X P2,client,S,,5/9/2024
SATATYA NVR0801XS P2,client,S,,5/8/2024
SATATYA NVR12808XCTP,client,"S, G",,10/21/2021
SATATYA NVR12808XCTS,client,"S, G",,10/22/2021
SATATYA NVR12816XCTP,client,"S, G",,10/22/2021
SATATYA NVR12824XCTP,client,"S, G",,10/22/2021
SATATYA NVR1601X,client,S,,5/9/2024
SATATYA NVR1601X P2,client,S,,5/9/2024
SATATYA NVR1601XS P2,client,S,,5/9/2024
SATATYA NVR1602X,client,S,,5/9/2024
SATATYA NVR1602X P2,client,S,,5/9/2024
SATATYA NVR25608XCTP,client,"S, G",,10/21/2021
SATATYA NVR25608XCTS,client,"S, G",,4/24/2024
SATATYA NVR25616XCTP,client,"S, G",,10/22/2021
SATATYA NVR25624XCTP,client,"S, G",,10/22/2021
SATATYA NVR3202X,client,S,,5/9/2024
SATATYA NVR3202X P2,client,S,,5/9/2024
SATATYA NVR3204X,client,S,,5/9/2024
SATATYA NVR3204X P2,client,S,,5/9/2024
SATATYA NVR6404X,client,S,,5/9/2024
SATATYA NVR6404X P2,client,S,,5/9/2024
SATATYA NVR6408X,client,S,,5/9/2024
SATATYA NVR6408X P2,client,S,,5/9/2024
SATATYA NVR9608X P2,client,S,,5/9/2024
SATATYA SAMAS,client,"S, G",,10/20/2021
SATATYA VMSP2020XCTP,client,"S, G",,4/24/2024
SATATYA VMSP3020XCTP,client,"S, G",,4/24/2024
SATATYA VMSP4020XCTP,client,"S, G",,4/24/2024
INR-18N040005A,client,S,,7/20/2022
INR-28N080005A,client,S,,7/20/2022
INR-28N320005A,client,S,,7/20/2022
INR-58N640005A,client,S,,3/26/2024
MNR-18N04000A,client,S,,7/20/2022
MNR-18N16000A,client,S,,7/20/2022
ADACS,client,S,,11/27/2017
MV-16SIP,client,S,,10/31/2018
HD-NVR-5216E,client,S,,11/25/2019
HD-NVR5232E,client,S,,9/6/2018
HD-NVR5432E,client,S,,9/6/2018
DG960,client,S,,6/20/2013
DT-2,client,S,,1/15/2013
I60,client,S,,6/17/2013
T40 Pro,client,S,,6/20/2013
Cyberview Futrieval,client,S,,12/11/2016
1098/405P,client,"S, T",,9/17/2021
1098/407P,client,"S, T",,9/23/2021
1098/410P,client,"S, T",,9/22/2021
1098/451,client,"S, T",,9/22/2021
1098/452P,client,"S, T",,9/23/2021
1098/454,client,"S, T",,9/23/2021
1098/455,client,"S, T",,9/23/2021
ECL2-NV1G,client,S,,3/2/2017
ECLEF-NV1G,client,S,,10/1/2021
ECLEF-NV1G-02,client,S,,10/25/2021
ECLEF-NV1G-04,client,S,,10/25/2021
ECLEF-NV1G-08,client,S,,10/25/2021
ECLEF-NV1G-16,client,S,,10/25/2021
SHARP YC-R04A2,client,S,,12/26/2023
SHARP YC-R08A4,client,S,,12/26/2023
YC-R04B2,client,S,,5/23/2024
YC-R0814,client,S,,3/18/2019
YC-R08B4,client,S,,5/31/2024
YC-R1618,client,S,,3/18/2019
YC-R162C,client,S,,3/18/2019
YC-R16B8,client,S,,12/26/2023
DS-9616N-I16,client,S,,5/6/2020
VP-NV2016-1SL3,client,S,,7/17/2018
VP-NV3016-1SL3,client,S,,7/19/2018
VP-NV3532-4ST1,client,S,,1/29/2019
VP-NV3532-8ST1,client,S,,1/29/2019
VP-NV5932-8SRX1,client,"S, G",,11/20/2021
VP-NV6964-R16SX1,client,S,,6/28/2019
VV-NV3532-8ST1,client,S,,2/4/2019
INR128-640F16E-3E1,client,S,,4/10/2023
INR16-48F2I-SE116P,client,S,,4/10/2023
INR256-640F16E-3E1,client,S,,4/10/2023
INR32-48F2I-SE116P,client,S,,4/10/2023
INR32-96H2I-SE1,client,S,,9/27/2020
INR32-96H8I-SE1,client,S,,9/27/2020
INR32-96H8I-SEIR,client,S,,6/22/2022
INR64-640F16E-3E1,client,S,,4/10/2023
INR64-96H8I-SE1,client,S,,4/10/2023
INR8-24F2I-SE18P,client,S,,4/10/2023
MxManagementCenter,client,S,,3/10/2019
PL-6202-NSR-S,client,"S, G, Q, T",,7/28/2021
PL-6208D-NSR-R,client,"S, G, Q, T",,7/28/2021
PL-6224D-NSR-R,client,"S, G, Q, T",,10/20/2021
PL-7204ENVR,client,"S, G, Q, T",,7/28/2021
PL-7208ENVR,client,"S, G, Q, T",,7/28/2021
PL-7416ENVR,client,"S, G, Q, T",,7/28/2021
PL-7436ENVR,client,"S, G, Q, T",,7/28/2021
PL-7964ENVR,client,"S, G, Q, T",,7/7/2021
PL-AVMS,client,S,,4/7/2021
CHT-IVS,client,S,,4/1/2016
CHT-IVS2,client,S,,4/1/2016
ChtODM@ChtOEM,client,S,,3/18/2016
NVD 1008,client,S,,9/25/2015
NVD 1008 P,client,S,,3/16/2015
NVD 1108,client,S,,7/31/2016
NVD 3000,client,S,,4/29/2014
NVD 3016,client,S,,9/25/2015
NVD 3016 P,client,S,,3/16/2015
NVD 5016 4K,client,S,,8/9/2016
NVD 7032,client,S,,1/28/2015
NVD-3000-P,client,S,,4/29/2014
SRA211-004,client,S,,11/23/2016
SRA211-008,client,S,,11/23/2016
SRA211-016,client,S,,11/23/2016
SRA212-004P4,client,S,,11/23/2016
SRA212-008P8,client,S,,11/23/2016
SRA212N-004P4,client,S,,11/23/2016
SRA212N-008P8,client,S,,11/23/2016
SRA213-32,client,S,,11/23/2016
SRA311-008P8,client,S,,8/15/2020
SRA312-016,client,S,,8/15/2020
SRA312-032,client,S,,8/15/2020
Milesight VMS Enterprise,client,S,,8/26/2022
MS-N1004-UC,client,"S, T",,9/11/2021
MS-N1004-UPC,client,"S, T",,9/16/2021
MS-N1008-UC,client,"S, T",,9/16/2021
MS-N1008-UNC,client,S,,7/20/2022
MS-N1008-UNPC,client,S,,7/20/2022
MS-N1008-UPC,client,"S, T",,9/16/2021
MS-N1009-UNT,client,"S, T",,9/16/2021
MS-N1009-UPT,client,"S, T",,9/16/2021
MS-N1009-UT,client,"S, T",,9/16/2021
MS-N5008-UC,client,"S, T",,9/16/2021
MS-N5008-UPC,client,"S, T",,9/16/2021
MS-N5016-E,client,S,,7/20/2022
MS-N5016-PE,client,S,,7/20/2022
MS-N5016-UPT,client,"S, T",,9/16/2021
MS-N5016-UT,client,"S, T",,9/16/2021
MS-N7016-UH,client,"S, T",,9/16/2021
MS-N7016-UPH,client,"S, T",,9/16/2021
MS-N7032-UH,client,"S, T",,9/16/2021
MS-N7032-UPH,client,"S, T",,9/16/2021
MS-N7048-UPH,client,S,,7/20/2022
MS-N8032-UH,client,"S, T",,9/16/2021
MS-N8064-UH,client,"S, T",,9/16/2021
Eagle Eye Bridge 301,client,S,,8/4/2015
Eagle Eye Bridge 302,client,S,,8/4/2015
Eagle Eye Bridge 303,client,S,,8/4/2015
Eagle Eye Bridge 310,client,S,,8/4/2015
Eagle Eye Bridge 401,client,S,,8/4/2015
Eagle Eye Bridge 403,client,S,,8/4/2015
Eagle Eye Bridge 410,client,S,,8/4/2015
Eagle Eye CMVR 320,client,S,,8/4/2015
Eagle Eye CMVR 420,client,S,,8/4/2015
Eagle Eye CMVR 520,client,S,,8/4/2015
Eagle Eye CMVR 620,client,S,,8/4/2015
Eagle Eye CMVR 820,client,S,,8/4/2015
Eagle Eye Security Camera VMS,client,S,,8/4/2015
ADU8706-E-V3,client,S,,6/14/2023
ADU8709-E-V3,client,S,,6/14/2023
ADU8712-E-V3,client,S,,6/14/2023
CVS5516,client,S,,9/15/2015
